variant,display,full_name,LV_dice,MYO_dice,MI_dice,MI_path_dice,MVO_dice,LV_hd95,MYO_hd95,MI_hd95,MI_recall,LV_iou,MYO_iou,MI_iou,params_M,inference_ms
M1,Baseline 3D U-Net,3D U-Net baseline,0.9154990945904558,0.7275726217683869,0.3210411089196191,0.4494575524874668,,5.5022191654255455,8.159405257681447,99.35905405392445,0.5493843390407046,0.845337712315679,0.5811671573960202,0.21650061629069967,46.579736,56.56935373942057
M2,AFDD-Net-F,AFDD-Net-F (factorized conv),0.9048335067071245,0.7298446879130895,0.3251263637138227,0.4551769091993518,,5.760144385599164,8.7751419814943,99.62450836132506,0.5247488196583829,0.8286731178730361,0.5812608006389592,0.2226391751504274,11.521496,37.70019213358561
M3,AFDD-Net-D,AFDD-Net-D (dual decoder),0.9069533659129558,0.7582870030689389,0.3173532563458492,0.41255923324960386,0.03760463824650671,5.65975599833185,7.226539208700342,81.83544635936686,0.5079630575940999,0.8316867298280493,0.6156758608682408,0.20731636246979737,16.058893,58.106088638305664
M4,AFDD-Net-T,AFDD-Net-T (Focal Tversky),0.9061546942634694,0.7611440011948499,0.3365150763274069,0.4038180915928883,0.038323901859823546,5.441062124199062,7.126425003081232,59.548545312541975,0.5120545611046848,0.8300305817529581,0.6183539003815769,0.21982862723441296,16.058893,70.74602444966634
M5,AFDD-Net,AFDD-Net (full proposed),0.9053854373059125,0.7734933804274451,0.32531696086786466,0.4554437452150105,0.2398014440433213,5.443879222057486,7.127370247217289,96.61488607635991,0.5139839551643789,0.8284929055431968,0.6344634069207125,0.22354053611049543,16.058893,59.319051106770836
UNET,UNet,3D UNet (MONAI),0.891096195678254,0.6842405371302286,0.26586050696257685,0.34561865905134986,,5.556199002039329,9.399813534628045,79.7523296624756,0.40937884993273144,0.8053475762568965,0.531579004392455,0.17814807056716717,19.220713,18.16412607828776
SEGRESNET,SegResNet,SegResNet (MONAI),0.9016011578682643,0.6804857718671158,0.36484782561957413,0.40133260818153155,,5.543897564086079,8.926615036070285,35.08966859344572,0.49767819181622475,0.8228886753558223,0.5288896295376225,0.23737464042176298,4.700948,54.37715848286947
SWINUNETR,SwinUNETR,SwinUNETR (MONAI),0.9106248300255694,0.7260526786946978,0.3725202685867674,0.5215283760214744,,5.566025314406176,8.040603810634305,99.99888163531851,0.593004088617965,0.8383986245914421,0.5787035887983373,0.26715489152442207,15.703054,102.96812057495117
NNUNET,nnU-Net,nnU-Net-style DynUNet,0.9040024228098091,0.7111204931431876,0.3511203111202014,0.45645640445626184,,5.621666428925301,8.171675299748042,79.46146538058888,0.562461916652225,0.8266670498101224,0.5573807976444519,0.23893614486428574,16.663556,45.887978871663414
DYNUNET,DynUNet,DynUNet (MONAI),0.906514558279204,0.6991697615994698,0.3357436086044333,0.43646669118576326,,5.683896782417298,8.922596889661447,77.24396829264,0.5187734880568401,0.8309341898653319,0.5473358867686513,0.22867703116976965,22.572004,74.80792999267578
